,name,amenity,lat,lon,neighbourhood
783,Local Public Eatery,pub,49.272446,-123.1553117,Kitsilano
784,The Ellis,pub,49.2716021,-123.155352,Kitsilano
785,Subway,fast_food,49.2352507,-123.1557393,Arbutus-Ridge
786,Secret Garden Tea Company,cafe,49.2354571,-123.1560864,Arbutus-Ridge
787,Comebuy Bubble Tea,cafe,49.2379505,-123.1556108,Arbutus-Ridge
788,Caffè Artigiano,cafe,49.2344956,-123.1573182,Kerrisdale
789,Legato Cafe,cafe,49.2344715,-123.1593632,Kerrisdale
790,One Bowl,cafe,49.2350698,-123.1615131,Arbutus-Ridge
791,Starbucks,cafe,49.2344778,-123.1605904,Kerrisdale
792,NOURISH,cafe,49.2633833,-123.1866515,West Point Grey
793,Subway,fast_food,49.263878,-123.205001,West Point Grey
794,Tim Hortons,cafe,49.2639234,-123.2061777,West Point Grey
795,Figaro Café + Bakery,cafe,49.2636669,-123.2051855,West Point Grey
796,Darcy's Cafe,cafe,49.2636844,-123.2081906,West Point Grey
800,Chipotle,fast_food,49.2630462,-123.1159688,Fairview
803,Bellaggio Café & Gelateria,cafe,49.2887562,-123.1150926,Downtown
806,A&W,fast_food,49.2608512,-123.1161648,Fairview
813,Fit Camp Foods,fast_food,49.2806424,-123.1312774,West End
815,3 Quarters Full Cafe,cafe,49.2885009,-123.1391648,West End
830,Donnelan's,pub,49.2782909,-123.1241919,Downtown
834,,vending_machine,49.2382584,-123.0321227,Renfrew-Collingwood
835,,vending_machine,49.2381936,-123.0320784,Renfrew-Collingwood
836,,vending_machine,49.2380467,-123.0316644,Renfrew-Collingwood
837,,vending_machine,49.2380347,-123.0318126,Renfrew-Collingwood
843,Quantum Coffee,cafe,49.2850193,-123.1145937,Downtown
844,The Magnet,pub,49.2824055,-123.1111441,Downtown
845,Maple Leaf Delicatessen Coffe Shop,cafe,49.2787028,-123.1302045,West End
846,Sushi Maki,fast_food,49.2807616,-123.1248877,Downtown
851,Starbucks,cafe,49.2916513,-123.1354557,West End
852,Sylvia's Bar,bar,49.2885782,-123.1426441,West End
854,Fringe,pub,49.26404,-123.174703,Kitsilano
855,Neverland Tea Salon,cafe,49.2640168,-123.1733645,Kitsilano
856,Quiznos,fast_food,49.2639753,-123.1713499,Kitsilano
857,Yagger's Kits,pub,49.2639533,-123.1696182,Kitsilano
858,Uncle Faith's Pizza,fast_food,49.2639335,-123.1678232,Kitsilano
859,Bella Pizza,fast_food,49.2632325,-123.1364612,Fairview
860,Barista Cafe,cafe,49.2632564,-123.1276427,Fairview
861,Subway,fast_food,49.2632444,-123.1255405,Fairview
862,Subway,fast_food,49.2628323,-123.1032243,Mount Pleasant
863,A&W,fast_food,49.2625523,-123.0693702,Grandview-Woodland
864,Booster Juice,fast_food,49.2628756,-123.0695249,Grandview-Woodland
865,Megabite Pizza,fast_food,49.2627967,-123.0693624,Grandview-Woodland
866,Super Great Pizza,fast_food,49.238319,-123.0323183,Renfrew-Collingwood
867,Freshslice Pizza,fast_food,49.2266714,-123.0905213,Sunset
868,L & G Bubble Tea,cafe,49.2317166,-123.0904136,Sunset
872,Subway,fast_food,49.2110929,-123.1407058,Marpole
873,Relish,pub,49.2802411,-123.1250614,Downtown
874,Red Burrito,fast_food,49.2807931,-123.1191954,Downtown
875,Java Cat,cafe,49.2817816,-123.1117459,Downtown
876,Library Square Public House,pub,49.2800328,-123.1146849,Downtown
877,Colony,bar,49.2590227,-123.1008347,Mount Pleasant
878,Truffles,cafe,49.2777827,-123.1268532,Downtown
879,Waves Coffee,cafe,49.2838195,-123.1118877,Downtown
880,Peqish,fast_food,49.2833711,-123.1145504,Downtown
881,Kita no Donburi,fast_food,49.2845542,-123.1133241,Downtown
882,Pizza Vancouver,fast_food,49.2834954,-123.1149019,Downtown
883,Starbucks,cafe,49.2846244,-123.1218388,West End
884,Meat & Bread,fast_food,49.282623,-123.109344,Downtown
885,Fresh Bowl,fast_food,49.2827131,-123.1093153,Downtown
887,Chewies,pub,49.270944,-123.1552107,Kitsilano
889,Cafe Bel,cafe,49.2833178,-123.1191002,Downtown
891,I.ce Queen,ice_cream,49.264266,-123.1718556,Kitsilano
899,My Frosty,cafe,49.2690014,-123.0445183,Hastings-Sunrise
900,Trees Organic,cafe,49.2634545,-123.1407716,Fairview
901,Blenz Coffee,cafe,49.2636205,-123.1502883,Kitsilano
902,Hearts & Vine Cafe,cafe,49.2641802,-123.1574706,Kitsilano
903,The Regal Beagle,pub,49.2640449,-123.1567706,Kitsilano
904,Good Earth Coffeehouse,cafe,49.2642829,-123.1860874,West Point Grey
908,Kokomo,cafe,49.2678638,-123.1573505,Kitsilano
909,IGA Bistro,cafe,49.2637652,-123.1573383,Kitsilano
915,Thierry,cafe,49.2847804,-123.1227707,West End
928,Chatime,cafe,49.2274296,-123.1168286,Oakridge
929,Truck Stop Diner,pub,49.2688201,-123.0967506,Strathcona
930,Yeh!,fast_food,49.2896711,-123.1384396,West End
931,A&W,fast_food,49.2896102,-123.1385336,West End
932,Peaked Pies,fast_food,49.289715,-123.1383784,West End
933,Panago,fast_food,49.2897561,-123.1383258,West End
934,Tim Hortons,cafe,49.2893869,-123.1388596,West End
939,Nosherie,cafe,49.2817211,-123.1165551,Downtown
940,Truffles Café,cafe,49.239521,-123.1286511,Shaughnessy
944,Bella Gelateria,ice_cream,49.2736081,-123.1185044,Downtown
947,Shebeen Whiskey House,bar,49.2828822,-123.1037866,Downtown
948,Irish Heather,pub,49.2828919,-123.1040897,Downtown
950,JJ Bean,cafe,49.2550997,-123.1153648,South Cambie
951,Rain or Shine Ice Cream,ice_cream,49.2551419,-123.1148934,Riley Park
957,24 Train Express Noodle House,fast_food,49.2782532,-123.1218162,Downtown
958,La Belle Patate,fast_food,49.2820553,-123.1335652,West End
959,Sushi Den,fast_food,49.279559,-123.1078428,Downtown
960,Noodle Box,fast_food,49.2819445,-123.1076316,Downtown
961,Tacomio,fast_food,49.2816397,-123.1075252,Downtown
962,Vegan Cave,cafe,49.2818025,-123.1074624,Downtown
963,Nectar,cafe,49.2819026,-123.1075035,Downtown
964,Prado,cafe,49.2818951,-123.1074453,Downtown
972,Edel Express,cafe,49.2862256,-123.1161579,Downtown
973,Bonchaz,cafe,49.2835903,-123.111511,Downtown
974,Caffè Artigiano,cafe,49.2856543,-123.1147275,Downtown
975,CoCo Fresh Tea & Juice,cafe,49.2845132,-123.114372,Downtown
976,Social Crust,cafe,49.2825674,-123.1113699,Downtown
977,Kyzock - House of Sushi Bowl,fast_food,49.2838332,-123.113312,Downtown
978,Me Crêpes,fast_food,49.2839646,-123.1135104,Downtown
979,2001 Flavors,fast_food,49.2840103,-123.1135799,Downtown
980,Yagger's,bar,49.283201,-123.1123664,Downtown
981,Moii Cafe,cafe,49.2835821,-123.1129034,Downtown
982,Koala Kebabs,fast_food,49.2836356,-123.1130258,Downtown
983,Cham Mani,fast_food,49.2837054,-123.1131194,Downtown
984,Sushi Spin Roll,fast_food,49.2837386,-123.1131665,Downtown
985,Fresh Slice,fast_food,49.2838178,-123.1132808,Downtown
994,Starbucks,cafe,49.2693966,-123.1029581,Mount Pleasant
995,Brewhall,pub,49.2694368,-123.103525,Mount Pleasant
996,Mario's Gelato,ice_cream,49.2699059,-123.1030986,Mount Pleasant
997,The Federal Store,cafe,49.2619429,-123.103196,Mount Pleasant
998,,vending_machine,49.2439382,-123.0452788,Renfrew-Collingwood
999,,vending_machine,49.2439667,-123.0453629,Renfrew-Collingwood
1000,,vending_machine,49.2444248,-123.0461362,Renfrew-Collingwood
1001,,vending_machine,49.2442355,-123.0463355,Renfrew-Collingwood
1008,Blenz,cafe,49.2796325,-123.1078508,Downtown
1009,The Pint,pub,49.2812723,-123.1077237,Downtown
1014,JJ Bean,cafe,49.2846897,-123.0652949,Grandview-Woodland
1015,,vending_machine,49.2421002,-123.1134996,Riley Park
1019,,vending_machine,49.2750811,-123.1396933,Kitsilano
1020,Harvest Community Foods,cafe,49.2777456,-123.0980833,Strathcona
1021,Terra Breads,cafe,49.2714358,-123.1068353,Mount Pleasant
1026,Pallet Coffee Roasters,cafe,49.2817332,-123.0638566,Grandview-Woodland
1027,platform 7 Coffee,cafe,49.281298,-123.0574622,Grandview-Woodland
1028,Railtown Café,cafe,49.2850466,-123.0954451,Strathcona
1029,Ed’s Daily,cafe,49.2828397,-123.089684,Strathcona
1030,Tim Hortons,cafe,49.2860889,-123.1163367,Downtown
1031,Blackbird,pub,49.2851463,-123.1184912,Downtown
1032,Storm Crow Tavern,bar,49.2728332,-123.069737,Grandview-Woodland
1033,Take Five,cafe,49.2768852,-123.0754328,Grandview-Woodland
1037,Red Accordion,pub,49.2902748,-123.1317492,West End
1038,Donair Dude,fast_food,49.2822367,-123.1092038,Downtown
1039,Tim Hortons,cafe,49.2832205,-123.1155257,Downtown
1040,Starbucks,cafe,49.2829884,-123.1156531,Downtown
1041,Subway,fast_food,49.2766649,-123.1272005,Downtown
1042,The Morrissey,bar,49.2768995,-123.1268568,Downtown
1043,Subway,fast_food,49.2823756,-123.1084859,Downtown
1044,Moose's Down Under,pub,49.2855675,-123.1165611,Downtown
1045,Yummy Pizza,fast_food,49.2813411,-123.1329394,West End
1046,The Capital,bar,49.2814237,-123.1330616,West End
1047,Los Amigos Taqueria,fast_food,49.2806117,-123.1318361,West End
1048,Megabite Pizza,fast_food,49.2805693,-123.1317681,West End
1049,Vista Digital,internet_cafe,49.2804768,-123.1316113,West End
1050,Donair Dude,fast_food,49.2813671,-123.1329957,West End
1053,Portland Craft,bar,49.2506841,-123.1012022,Riley Park
1057,Off the tracks bar & bistro,pub,49.2702595,-123.1340523,Fairview
1058,Milano Cafe,cafe,49.2637188,-123.1087031,Mount Pleasant
1060,The Lamplighter Public House,pub,49.2837114,-123.106243,Downtown
1062,Porto Café,cafe,49.2656312,-123.1150585,Fairview
1065,Starbucks,cafe,49.2485436,-123.1266354,South Cambie
1066,Boaguette Vietnamese Bistro,fast_food,49.287377,-123.1414211,West End
1071,The Only Cafe,cafe,49.2681226,-123.1656481,Kitsilano
1076,Lions Pub,pub,49.2869412,-123.1148363,Downtown
1077,Ovaltine Cafe,cafe,49.2814941,-123.0984116,Strathcona
1083,JJ Bean,cafe,49.2865106,-123.1258963,West End
1084,Breka Bakery & Café,cafe,49.285665,-123.1272801,West End
1085,Cafe Rico,cafe,49.2868188,-123.1285213,West End
1086,Tim Hortons,cafe,49.2870412,-123.1283167,West End
1087,Kino Cafe Flamenco Tapas Bar,bar,49.2543533,-123.1149873,Riley Park
1088,Biercraft,pub,49.2558057,-123.1153793,South Cambie
1099,East Van Roasters,cafe,49.282101,-123.1045134,Downtown
1102,Starbucks,cafe,49.2885656,-123.1177149,Downtown
1104,Blenz Coffee,cafe,49.2810287,-123.118654,Downtown
1110,Xing Fu Tang,cafe,49.238699,-123.0509163,Renfrew-Collingwood
1111,Tim Hortons,cafe,49.2593387,-123.0445903,Renfrew-Collingwood
1113,Spanish Banks West Concession,fast_food,49.2775024,-123.2227417,West Point Grey
1114,A&W,fast_food,49.2684742,-123.1859648,West Point Grey
1115,Breka Bakery & Café,cafe,49.2684823,-123.1867573,West Point Grey
1116,Nusa Coffee,cafe,49.2682531,-123.1677783,Kitsilano
1117,La Glace,ice_cream,49.2579705,-123.1679754,Kitsilano
1118,Starbucks,cafe,49.2464996,-123.1854116,Dunbar-Southlands
1119,Amato Gelato & Cafè,cafe,49.2700562,-123.1030385,Mount Pleasant
1126,COCO Fresh Tea & Juice,cafe,49.2345507,-123.0362568,Renfrew-Collingwood
1130,Subway,fast_food,49.2785018,-123.1156293,Downtown
1131,Russet Shack,fast_food,49.2785979,-123.1158033,Downtown
1132,Jenjudan,cafe,49.2786375,-123.115902,Downtown
1139,HAVE cafe,cafe,49.2829888,-123.0959146,Strathcona
1141,YiFang Taiwan Fruit Tea,cafe,49.2497907,-123.1151843,Riley Park
1142,Tim Hortons,cafe,49.2329446,-123.0653099,Kensington-Cedar Cottage
1143,Meet Fresh Robson,cafe,49.2862969,-123.1277327,West End
1146,7Days Coffee,cafe,49.276166,-123.1157038,Downtown
1154,Basil Box,fast_food,49.2828897,-123.1230681,Downtown
1155,Starbucks,cafe,49.2850423,-123.1205667,Downtown
1156,Burger King,fast_food,49.2841391,-123.1142912,Downtown
1158,Starbucks,cafe,49.277133,-123.1296758,Downtown
1160,Marble Slab Creamery,ice_cream,49.263404,-123.1162261,Fairview
1161,Urban Tea Merchant,cafe,49.2853887,-123.1229586,West End
1162,Ho Ho's Yummy Food,cafe,49.2820786,-123.1340707,West End
1163,Sumac Cafe,cafe,49.282131,-123.1341558,West End
1164,Melriches Coffee House,cafe,49.2822483,-123.1343416,West End
1165,Guu Davie,pub,49.2822628,-123.1337681,West End
1166,Mary's on Davie,cafe,49.2817505,-123.1335605,West End
1167,Score,bar,49.2823322,-123.1345615,West End
1168,Blenz Coffee,cafe,49.2819635,-123.1333845,West End
1178,Poké Bar,fast_food,49.2627114,-123.09985,Mount Pleasant
1179,Starbucks,cafe,49.2627235,-123.1001878,Mount Pleasant
1180,The Dime,pub,49.2707953,-123.0697877,Grandview-Woodland
1183,Gene,cafe,49.2638682,-123.1006882,Mount Pleasant
1184,Budgies Burritos,fast_food,49.2636427,-123.1005034,Mount Pleasant
1185,Five Point,pub,49.2571036,-123.1008894,Mount Pleasant
1186,Caffè Mira,cafe,49.2568815,-123.1009868,Mount Pleasant
1187,The Ivanhoe,pub,49.2750615,-123.0996424,Strathcona
1188,Union Market,cafe,49.2773052,-123.0869116,Strathcona
1197,Pho Goodness,fast_food,49.280931,-123.1323047,West End
1201,London Pub,pub,49.278388,-123.099578,Strathcona
1204,Pho Royal,fast_food,49.2692484,-123.1459879,Kitsilano
