,name,amenity,lat,lon
13590,Potters Place Mission,place_of_worship,49.2816298,-123.1036995
13651,Trinity Central,place_of_worship,49.277043,-123.1247982
13725,,place_of_worship,49.0350298,-123.0679521
13877,New Life Community Church,place_of_worship,49.2504899,-122.9104113
13913,Fu-Niu Buddhist Temple,place_of_worship,49.2356476,-123.0441064
14333,Brentwood Park Alliance Church,place_of_worship,49.2716069,-122.9916818
14334,Holy Cross Roman Catholic Church,place_of_worship,49.2703805,-122.991699
14336,Korean Baptist Church of Vancouver,place_of_worship,49.2749222,-122.9705761
14517,Grace Tabernacle,place_of_worship,49.0152674,-122.3156177
14542,Gurudwara Guru Teg Bahadur Sahib-Cloverdale,place_of_worship,49.1108931,-122.7123527
14602,Central Presbyterian Church,place_of_worship,49.2810499,-123.1304873
14748,Burnaby Christ Church of China,place_of_worship,49.2478329,-122.9674694
14896,SouthRidge Fellowship Church,place_of_worship,49.0884195,-122.5933957
15174,,place_of_worship,49.2287667,-123.1955005
15271,Church of Jesus Christ and the Latterday Saints,place_of_worship,49.0380647,-122.7943836
15475,St. Stephen's United Church,place_of_worship,49.0918261,-122.9545369
15779,Christian Reformed Church,place_of_worship,49.226887,-122.9208031
15825,Good Shepard CRC,place_of_worship,49.169157,-122.7794781
15954,Mt. Calvary Lutheran Church,place_of_worship,49.2148799,-122.92198139999999
15955,,place_of_worship,49.2109625,-122.9162642
15956,Olivet Baptist Church,place_of_worship,49.2068115,-122.9142345
15957,,place_of_worship,49.2150165,-122.9332378
16062,Saint Matthew's Anglican Church,place_of_worship,49.0400498,-122.2612353
16168,,place_of_worship,49.1287107,-123.1759851
16434,North Delta Evangelical Free Church,place_of_worship,49.15561,-122.9095119
16580,St Laurence,place_of_worship,49.2647408,-122.8418615
17032,St Luke's Catholic Church,place_of_worship,49.222555,-122.6587336
17166,Iglesia de Jesucristo Palabra Miel,place_of_worship,49.1986946,-122.8485171
