,name,amenity,lat,lon,neighbourhood
146,Truck Stop Diner,pub,49.2688201,-123.0967506,Strathcona
147,Shebeen Whiskey House,bar,49.2828822,-123.1037866,Downtown
148,Irish Heather,pub,49.2828919,-123.1040897,Downtown
149,Encore,nightclub,49.2785234,-123.1238494,Downtown
150,Yagger's,bar,49.283201,-123.1123664,Downtown
151,Brewhall,pub,49.2694368,-123.103525,Mount Pleasant
152,The Pint,pub,49.2812723,-123.1077237,Downtown
153,The Bourbon,nightclub,49.2826091,-123.1057991,Downtown
155,Blackbird,pub,49.2851463,-123.1184912,Downtown
156,Storm Crow Tavern,bar,49.2728332,-123.069737,Grandview-Woodland
159,Red Accordion,pub,49.2902748,-123.1317492,West End
160,The Morrissey,bar,49.2768995,-123.1268568,Downtown
161,Moose's Down Under,pub,49.2855675,-123.1165611,Downtown
162,The Capital,bar,49.2814237,-123.1330616,West End
163,Portland Craft,bar,49.2506841,-123.1012022,Riley Park
164,Off the tracks bar & bistro,pub,49.2702595,-123.1340523,Fairview
166,The Lamplighter Public House,pub,49.2837114,-123.106243,Downtown
170,Lions Pub,pub,49.2869412,-123.1148363,Downtown
172,Kino Cafe Flamenco Tapas Bar,bar,49.2543533,-123.1149873,Riley Park
173,Biercraft,pub,49.2558057,-123.1153793,South Cambie
184,The Penthouse,nightclub,49.2784275,-123.1225756,Downtown
185,Guu Davie,pub,49.2822628,-123.1337681,West End
186,Score,bar,49.2823322,-123.1345615,West End
187,Commodore Ballroom,nightclub,49.2805916,-123.1207429,Downtown
188,The Dime,pub,49.2707953,-123.0697877,Grandview-Woodland
189,Five Point,pub,49.2571036,-123.1008894,Mount Pleasant
190,The Ivanhoe,pub,49.2750615,-123.0996424,Strathcona
192,London Pub,pub,49.278388,-123.099578,Strathcona
194,The Whip,bar,49.2655902,-123.1003893,Mount Pleasant
197,Devil's Elbow,bar,49.2802664,-123.1097483,Downtown
198,The Black Frog,pub,49.2845626,-123.1084807,Downtown
200,Park Drive,bar,49.2683984,-123.0698801,Grandview-Woodland
201,Falconetti's,pub,49.2684563,-123.0694073,Grandview-Woodland
202,St Augustine's,pub,49.2637854,-123.0695196,Grandview-Woodland
204,,pub,49.2037034,-123.1334192,Marpole
206,12 Kings Pub,pub,49.2603011,-123.0966837,Mount Pleasant
207,The Hastings Warehouse,pub,49.2821875,-123.1090478,Downtown
208,Malone's,pub,49.2840215,-123.1141074,Downtown
209,Electric Bicycle Brewing,bar,49.2672724,-123.1042375,Mount Pleasant
211,Sidecar,pub,49.277605,-123.1257615,Downtown
212,Cabana,bar,49.2776684,-123.1256767,Downtown
213,Backstage Lounge,nightclub,49.2723207,-123.1342258,Fairview
221,Johnnie Fox's Irish Snug,pub,49.2789342,-123.1237243,Downtown
222,Shamrock Alley,bar,49.2873462,-123.141531,West End
223,Pat's Pub,pub,49.281417,-123.0949933,Strathcona
